# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810000e+02,3.338462e+02,-1.475098e+02,-5.910026e-03,1.694179e+03,2.699279e-03,9.965137e-01,2.835673e-08,1.312151e-08,4.147824e-08,2.699279e-03,7.594820e-03,1.029414e-02,9.965137e-01,7.869738e-04,3.885033e+01,1.401473e+00
7.810000e+02,3.430769e+02,-1.515885e+02,-6.073437e-03,1.741023e+03,2.705177e-03,9.965078e-01,2.769666e-08,8.931425e-09,3.662808e-08,2.705177e-03,7.803993e-03,1.050921e-02,9.965078e-01,7.869684e-04,3.992453e+01,1.440223e+00
7.810000e+02,3.523077e+02,-1.556671e+02,-6.236848e-03,1.787867e+03,2.710402e-03,9.965026e-01,2.536451e-08,6.299977e-09,3.166449e-08,2.710402e-03,8.013122e-03,1.072356e-02,9.965026e-01,7.869636e-04,4.099873e+01,1.478974e+00
7.810000e+02,3.615385e+02,-1.597457e+02,-6.400258e-03,1.834710e+03,2.715010e-03,9.964980e-01,2.166808e-08,5.214258e-09,2.688234e-08,2.715010e-03,8.222208e-03,1.093724e-02,9.964980e-01,7.869594e-04,4.207294e+01,1.517724e+00
7.810000e+02,3.707692e+02,-1.638243e+02,-6.563669e-03,1.881554e+03,2.719060e-03,9.964940e-01,1.805878e-08,5.237506e-09,2.329629e-08,2.719060e-03,8.431249e-03,1.115033e-02,9.964940e-01,7.869557e-04,4.314714e+01,1.556474e+00
7.810000e+02,3.800000e+02,-1.679029e+02,-6.727080e-03,1.928398e+03,2.722607e-03,9.964904e-01,1.743680e-08,5.843679e-09,2.328048e-08,2.722607e-03,8.640246e-03,1.136288e-02,9.964904e-01,7.869525e-04,4.422134e+01,1.595225e+00
7.810000e+02,3.892308e+02,-1.719815e+02,-6.890491e-03,1.975241e+03,2.725690e-03,9.964873e-01,1.667858e-08,6.504474e-09,2.318305e-08,2.725690e-03,8.849199e-03,1.157491e-02,9.964873e-01,7.869496e-04,4.529555e+01,1.633975e+00
7.810000e+02,3.984615e+02,-1.760601e+02,-7.053902e-03,2.022085e+03,2.728342e-03,9.964847e-01,1.192277e-08,6.932512e-09,1.885528e-08,2.728342e-03,9.058109e-03,1.178647e-02,9.964847e-01,7.869472e-04,4.636975e+01,1.672726e+00
7.810000e+02,4.076923e+02,-1.801388e+02,-7.217313e-03,2.068929e+03,2.730592e-03,9.964824e-01,6.181587e-09,7.104891e-09,1.328648e-08,2.730592e-03,9.266974e-03,1.199758e-02,9.964824e-01,7.869451e-04,4.744395e+01,1.711476e+00
7.810000e+02,4.169231e+02,-1.842174e+02,-7.380723e-03,2.115772e+03,2.732470e-03,9.964806e-01,3.497703e-09,7.012901e-09,1.051060e-08,2.732470e-03,9.475795e-03,1.220828e-02,9.964806e-01,7.869434e-04,4.851815e+01,1.750226e+00
7.810000e+02,4.261538e+02,-1.882960e+02,-7.544134e-03,2.162616e+03,2.734006e-03,9.964790e-01,3.913414e-09,6.523899e-09,1.043731e-08,2.734006e-03,9.684572e-03,1.241859e-02,9.964790e-01,7.869420e-04,4.959236e+01,1.788977e+00
7.810000e+02,4.353846e+02,-1.923746e+02,-7.707545e-03,2.209460e+03,2.735224e-03,9.964778e-01,5.675941e-09,5.521891e-09,1.119783e-08,2.735224e-03,9.893305e-03,1.262854e-02,9.964778e-01,7.869408e-04,5.066656e+01,1.827727e+00
7.810000e+02,4.446154e+02,-1.964532e+02,-7.870956e-03,2.256303e+03,2.736151e-03,9.964769e-01,7.008314e-09,4.177793e-09,1.118611e-08,2.736151e-03,1.010199e-02,1.283816e-02,9.964769e-01,7.869400e-04,5.174076e+01,1.866478e+00
7.810000e+02,4.538462e+02,-2.005318e+02,-8.034367e-03,2.303147e+03,2.736803e-03,9.964762e-01,7.226424e-09,2.923758e-09,1.015018e-08,2.736803e-03,1.031064e-02,1.304745e-02,9.964762e-01,7.869394e-04,5.281496e+01,1.905228e+00
7.810000e+02,4.630769e+02,-2.046104e+02,-8.197778e-03,2.349991e+03,2.737198e-03,9.964759e-01,6.784826e-09,2.078221e-09,8.863047e-09,2.737198e-03,1.051924e-02,1.325645e-02,9.964759e-01,7.869389e-04,5.388917e+01,1.943978e+00
7.810000e+02,4.723077e+02,-2.086890e+02,-8.361189e-03,2.396834e+03,2.737351e-03,9.964757e-01,5.977956e-09,1.673251e-09,7.651207e-09,2.737351e-03,1.072780e-02,1.346516e-02,9.964757e-01,7.869387e-04,5.496337e+01,1.982729e+00
7.810000e+02,4.815385e+02,-2.127677e+02,-8.524599e-03,2.443678e+03,2.737280e-03,9.964758e-01,5.367147e-09,1.614119e-09,6.981266e-09,2.737280e-03,1.093631e-02,1.367360e-02,9.964758e-01,7.869387e-04,5.603757e+01,2.021479e+00
7.810000e+02,4.907692e+02,-2.168463e+02,-8.688010e-03,2.490522e+03,2.737001e-03,9.964761e-01,5.461333e-09,1.779328e-09,7.240660e-09,2.737001e-03,1.114478e-02,1.388179e-02,9.964761e-01,7.869390e-04,5.711177e+01,2.060230e+00
7.810000e+02,5.000000e+02,-2.209249e+02,-8.851421e-03,2.537365e+03,2.736526e-03,9.964765e-01,5.198143e-09,2.019643e-09,7.217785e-09,2.736526e-03,1.135320e-02,1.408974e-02,9.964765e-01,7.869393e-04,5.818598e+01,2.098980e+00
7.810847e+02,1.400000e+02,-5.546531e+01,-2.222234e-03,5.750565e+02,1.793378e-03,9.974005e-01,1.811243e-05,2.127455e-07,1.832518e-05,1.793378e-03,2.584409e-03,4.396112e-03,9.974005e-01,7.878055e-04,1.460815e+01,5.269691e-01
7.810847e+02,1.492308e+02,-5.912237e+01,-2.368755e-03,6.129723e+02,1.955771e-03,9.972495e-01,6.897816e-06,1.623944e-07,7.060211e-06,1.955771e-03,2.754575e-03,4.717406e-03,9.972495e-01,7.876595e-04,1.557132e+01,5.617143e-01
7.810847e+02,1.584615e+02,-6.277942e+01,-2.515276e-03,6.508882e+02,2.074234e-03,9.971358e-01,2.250272e-06,1.467939e-07,2.397066e-06,2.074234e-03,2.924711e-03,5.001343e-03,9.971358e-01,7.875514e-04,1.653450e+01,5.964595e-01
7.810847e+02,1.676923e+02,-6.643647e+01,-2.661797e-03,6.888040e+02,2.157054e-03,9.970482e-01,7.142777e-06,1.436861e-07,7.286463e-06,2.157054e-03,3.094819e-03,5.259160e-03,9.970482e-01,7.874741e-04,1.749767e+01,6.312047e-01
7.810847e+02,1.769231e+02,-7.009353e+01,-2.808318e-03,7.267198e+02,2.233736e-03,9.969743e-01,4.460663e-06,1.421575e-07,4.602821e-06,2.233736e-03,3.264898e-03,5.503236e-03,9.969743e-01,7.874034e-04,1.846085e+01,6.659499e-01
7.810847e+02,1.861538e+02,-7.375058e+01,-2.954839e-03,7.646356e+02,2.299038e-03,9.969129e-01,6.009938e-07,1.475243e-07,7.485181e-07,2.299038e-03,3.434947e-03,5.734734e-03,9.969129e-01,7.873431e-04,1.942402e+01,7.006951e-01
7.810847e+02,1.953846e+02,-7.740763e+01,-3.101360e-03,8.025514e+02,2.348264e-03,9.968623e-01,2.018385e-06,1.536367e-07,2.172022e-06,2.348264e-03,3.604968e-03,5.955404e-03,9.968623e-01,7.872972e-04,2.038720e+01,7.354403e-01
7.810847e+02,2.046154e+02,-8.106469e+01,-3.247881e-03,8.404672e+02,2.392411e-03,9.968182e-01,1.956966e-06,1.452011e-07,2.102167e-06,2.392411e-03,3.774959e-03,6.169472e-03,9.968182e-01,7.872563e-04,2.135037e+01,7.701855e-01
7.810847e+02,2.138462e+02,-8.472174e+01,-3.394402e-03,8.783830e+02,2.432545e-03,9.967798e-01,3.421186e-07,1.274896e-07,4.696083e-07,2.432545e-03,3.944922e-03,6.377937e-03,9.967798e-01,7.872192e-04,2.231354e+01,8.049307e-01
7.810847e+02,2.230769e+02,-8.837879e+01,-3.540923e-03,9.162989e+02,2.465704e-03,9.967467e-01,3.356214e-07,1.127293e-07,4.483507e-07,2.465704e-03,4.114856e-03,6.581007e-03,9.967467e-01,7.871885e-04,2.327672e+01,8.396760e-01
7.810847e+02,2.323077e+02,-9.203585e+01,-3.687444e-03,9.542147e+02,2.494387e-03,9.967176e-01,7.772915e-07,9.343973e-08,8.707313e-07,2.494387e-03,4.284760e-03,6.780018e-03,9.967176e-01,7.871619e-04,2.423989e+01,8.744212e-01
7.810847e+02,2.415385e+02,-9.569290e+01,-3.833965e-03,9.921305e+02,2.521036e-03,9.966915e-01,2.624757e-07,6.816727e-08,3.306430e-07,2.521036e-03,4.454636e-03,6.976002e-03,9.966915e-01,7.871373e-04,2.520307e+01,9.091664e-01
7.810847e+02,2.507692e+02,-9.934995e+01,-3.980485e-03,1.030046e+03,2.544381e-03,9.966684e-01,3.444783e-08,5.045539e-08,8.490322e-08,2.544381e-03,4.624482e-03,7.168948e-03,9.966684e-01,7.871157e-04,2.616624e+01,9.439116e-01
7.810847e+02,2.600000e+02,-1.030070e+02,-4.127006e-03,1.067962e+03,2.564483e-03,9.966480e-01,3.347334e-07,3.888697e-08,3.736204e-07,2.564483e-03,4.794300e-03,7.359157e-03,9.966480e-01,7.870971e-04,2.712942e+01,9.786568e-01
7.810847e+02,2.692308e+02,-1.066641e+02,-4.273527e-03,1.105878e+03,2.583129e-03,9.966296e-01,1.902310e-07,2.776943e-08,2.180004e-07,2.583129e-03,4.964089e-03,7.547435e-03,9.966296e-01,7.870799e-04,2.809259e+01,1.013402e+00
7.810847e+02,2.784615e+02,-1.103211e+02,-4.420048e-03,1.143794e+03,2.599909e-03,9.966129e-01,5.588606e-08,2.159652e-08,7.748258e-08,2.599909e-03,5.133848e-03,7.733835e-03,9.966129e-01,7.870646e-04,2.905577e+01,1.048147e+00
7.810847e+02,2.876923e+02,-1.139782e+02,-4.566569e-03,1.181710e+03,2.614620e-03,9.965982e-01,1.367329e-07,2.184819e-08,1.585811e-07,2.614620e-03,5.303579e-03,7.918358e-03,9.965982e-01,7.870510e-04,3.001894e+01,1.082892e+00
7.810847e+02,2.969231e+02,-1.176352e+02,-4.713090e-03,1.219625e+03,2.628080e-03,9.965848e-01,1.069517e-07,2.351894e-08,1.304706e-07,2.628080e-03,5.473281e-03,8.101492e-03,9.965848e-01,7.870387e-04,3.098212e+01,1.117638e+00
7.810847e+02,3.061538e+02,-1.212923e+02,-4.859611e-03,1.257541e+03,2.640330e-03,9.965726e-01,5.427147e-08,2.403256e-08,7.830403e-08,2.640330e-03,5.642954e-03,8.283362e-03,9.965726e-01,7.870275e-04,3.194529e+01,1.152383e+00
7.810847e+02,3.153846e+02,-1.249493e+02,-5.006132e-03,1.295457e+03,2.651277e-03,9.965616e-01,4.115800e-08,2.595694e-08,6.711494e-08,2.651277e-03,5.812598e-03,8.463942e-03,9.965616e-01,7.870175e-04,3.290847e+01,1.187128e+00
7.810847e+02,3.246154e+02,-1.286064e+02,-5.152653e-03,1.333373e+03,2.661176e-03,9.965517e-01,4.142706e-08,2.816522e-08,6.959227e-08,2.661176e-03,5.982213e-03,8.643459e-03,9.965517e-01,7.870084e-04,3.387164e+01,1.221873e+00
7.810847e+02,3.338462e+02,-1.322634e+02,-5.299174e-03,1.371289e+03,2.670197e-03,9.965427e-01,3.257315e-08,2.676641e-08,5.933955e-08,2.670197e-03,6.151799e-03,8.822055e-03,9.965427e-01,7.870002e-04,3.483481e+01,1.256619e+00
7.810847e+02,3.430769e+02,-1.359205e+02,-5.445695e-03,1.409204e+03,2.678350e-03,9.965346e-01,1.649196e-08,2.379586e-08,4.028783e-08,2.678350e-03,6.321356e-03,8.999746e-03,9.965346e-01,7.869928e-04,3.579799e+01,1.291364e+00
7.810847e+02,3.523077e+02,-1.395775e+02,-5.592216e-03,1.447120e+03,2.685683e-03,9.965273e-01,1.783646e-08,2.170343e-08,3.953989e-08,2.685683e-03,6.490884e-03,9.176607e-03,9.965273e-01,7.869862e-04,3.676116e+01,1.326109e+00
7.810847e+02,3.615385e+02,-1.432346e+02,-5.738737e-03,1.485036e+03,2.692323e-03,9.965207e-01,2.713498e-08,1.790883e-08,4.504381e-08,2.692323e-03,6.660383e-03,9.352751e-03,9.965207e-01,7.869801e-04,3.772434e+01,1.360854e+00
