# distance_um=4.0
# waist_um=1.0
# t_gate_us=9.0
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810000e+02,1.400000e+02,-6.185897e+01,-7.833922e-13,7.104623e+02,2.659715e-03,9.965419e-01,1.150171e-05,1.040245e-09,1.150275e-05,2.659715e-03,6.373762e-03,9.044980e-03,9.965419e-01,7.868935e-04,1.629207e+01,2.899020e-01
7.810000e+02,1.492308e+02,-6.593758e+01,-8.350444e-13,7.573060e+02,2.836125e-03,9.963722e-01,5.078759e-06,1.424080e-09,5.080183e-06,2.836125e-03,6.792579e-03,9.633784e-03,9.963722e-01,7.865659e-04,1.736628e+01,3.090164e-01
7.810000e+02,1.584615e+02,-7.001619e+01,-8.866967e-13,8.041496e+02,2.938912e-03,9.962694e-01,5.299479e-06,2.262090e-09,5.301741e-06,2.938912e-03,7.211220e-03,1.015543e-02,9.962694e-01,7.863462e-04,1.844048e+01,3.281308e-01
7.810000e+02,1.676923e+02,-7.409481e+01,-9.383489e-13,8.509933e+02,3.005771e-03,9.962054e-01,2.661679e-06,2.301857e-09,2.663981e-06,3.005771e-03,7.629685e-03,1.063812e-02,9.962054e-01,7.861920e-04,1.951468e+01,3.472452e-01
7.810000e+02,1.769231e+02,-7.817342e+01,-9.900011e-13,8.978370e+02,3.044496e-03,9.961670e-01,2.397611e-06,2.608966e-09,2.400220e-06,3.044496e-03,8.047973e-03,1.109487e-02,9.961670e-01,7.860871e-04,2.058888e+01,3.663596e-01
7.810000e+02,1.861538e+02,-8.225203e+01,-1.041653e-12,9.446807e+02,3.069050e-03,9.961437e-01,1.241649e-06,2.078385e-09,1.243727e-06,3.069050e-03,8.466085e-03,1.153638e-02,9.961437e-01,7.860134e-04,2.166309e+01,3.854741e-01
7.810000e+02,1.953846e+02,-8.633065e+01,-1.093306e-12,9.915243e+02,3.082202e-03,9.961308e-01,1.004567e-06,1.919180e-09,1.006487e-06,3.082202e-03,8.884021e-03,1.196723e-02,9.961308e-01,7.859634e-04,2.273729e+01,4.045885e-01
7.810000e+02,2.046154e+02,-9.040926e+01,-1.144958e-12,1.038368e+03,3.089356e-03,9.961241e-01,5.763953e-07,1.301607e-09,5.776969e-07,3.089356e-03,9.301780e-03,1.239171e-02,9.961241e-01,7.859290e-04,2.381149e+01,4.237029e-01
7.810000e+02,2.138462e+02,-9.448787e+01,-1.196610e-12,1.085212e+03,3.091777e-03,9.961218e-01,4.776438e-07,1.195654e-09,4.788395e-07,3.091777e-03,9.719364e-03,1.281162e-02,9.961218e-01,7.859064e-04,2.488570e+01,4.428173e-01
7.810000e+02,2.230769e+02,-9.856649e+01,-1.248262e-12,1.132055e+03,3.091779e-03,9.961221e-01,2.528033e-07,9.958885e-10,2.537992e-07,3.091779e-03,1.013677e-02,1.322880e-02,9.961221e-01,7.858918e-04,2.595990e+01,4.619317e-01
7.810000e+02,2.323077e+02,-1.026451e+02,-1.299915e-12,1.178899e+03,3.089584e-03,9.961242e-01,3.204824e-07,1.277442e-09,3.217599e-07,3.089584e-03,1.055400e-02,1.364391e-02,9.961242e-01,7.858833e-04,2.703410e+01,4.810461e-01
7.810000e+02,2.415385e+02,-1.067237e+02,-1.351567e-12,1.225743e+03,3.086747e-03,9.961273e-01,1.206566e-07,1.522810e-09,1.221794e-07,3.086747e-03,1.097106e-02,1.405793e-02,9.961273e-01,7.858789e-04,2.810830e+01,5.001606e-01
7.810000e+02,2.507692e+02,-1.108023e+02,-1.403219e-12,1.272586e+03,3.082780e-03,9.961311e-01,2.185059e-07,2.069533e-09,2.205755e-07,3.082780e-03,1.138794e-02,1.447094e-02,9.961311e-01,7.858780e-04,2.918251e+01,5.192750e-01
7.810000e+02,2.600000e+02,-1.148809e+02,-1.454871e-12,1.319430e+03,3.078872e-03,9.961352e-01,8.523018e-08,2.359811e-09,8.758999e-08,3.078872e-03,1.180464e-02,1.488360e-02,9.961352e-01,7.858789e-04,3.025671e+01,5.383894e-01
7.810000e+02,2.692308e+02,-1.189596e+02,-1.506523e-12,1.366274e+03,3.074479e-03,9.961395e-01,1.200464e-07,2.798946e-09,1.228453e-07,3.074479e-03,1.222117e-02,1.529577e-02,9.961395e-01,7.858818e-04,3.133091e+01,5.575038e-01
7.810000e+02,2.784615e+02,-1.230382e+02,-1.558176e-12,1.413117e+03,3.070306e-03,9.961437e-01,6.179496e-08,2.729146e-09,6.452411e-08,3.070306e-03,1.263752e-02,1.570789e-02,9.961437e-01,7.858858e-04,3.240511e+01,5.766182e-01
7.810000e+02,2.876923e+02,-1.271168e+02,-1.609828e-12,1.459961e+03,3.066033e-03,9.961480e-01,5.717112e-08,2.814104e-09,5.998522e-08,3.066033e-03,1.305370e-02,1.611979e-02,9.961480e-01,7.858905e-04,3.347932e+01,5.957326e-01
7.810000e+02,2.969231e+02,-1.311954e+02,-1.661480e-12,1.506805e+03,3.061999e-03,9.961521e-01,3.655920e-08,2.322891e-09,3.888209e-08,3.061999e-03,1.346970e-02,1.653174e-02,9.961521e-01,7.858960e-04,3.455352e+01,6.148471e-01
7.810000e+02,3.061538e+02,-1.352740e+02,-1.713132e-12,1.553648e+03,3.058045e-03,9.961560e-01,2.924471e-08,2.120392e-09,3.136510e-08,3.058045e-03,1.388553e-02,1.694361e-02,9.961560e-01,7.859018e-04,3.562772e+01,6.339615e-01
7.810000e+02,3.153846e+02,-1.393526e+02,-1.764785e-12,1.600492e+03,3.054325e-03,9.961597e-01,2.430841e-08,1.484283e-09,2.579269e-08,3.054325e-03,1.430118e-02,1.735553e-02,9.961597e-01,7.859077e-04,3.670192e+01,6.530759e-01
7.810000e+02,3.246154e+02,-1.434312e+02,-1.816437e-12,1.647336e+03,3.050750e-03,9.961633e-01,2.178383e-08,1.258238e-09,2.304207e-08,3.050750e-03,1.471666e-02,1.776743e-02,9.961633e-01,7.859138e-04,3.777613e+01,6.721903e-01
7.810000e+02,3.338462e+02,-1.475098e+02,-1.868089e-12,1.694179e+03,3.047402e-03,9.961667e-01,2.237744e-08,8.064365e-10,2.318388e-08,3.047402e-03,1.513196e-02,1.817938e-02,9.961667e-01,7.859199e-04,3.885033e+01,6.913047e-01
