# distance_um=4.5
# waist_um=2.0
# t_gate_us=9
# delta_start_mhz=-80
# delta_end_mhz=80
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=80.0
# sweep_delta_max_mhz=80.0
# n_delta=1
# sweep_tgate_min_us=9.0
# sweep_tgate_max_us=9.0
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,3.061538e+02,-1.352740e+02,-5.419793e-03,1.553648e+03,4.920937e-04,9.987196e-01,6.255152e-08,9.122461e-08,1.537761e-07,4.920937e-04,1.388553e-02,1.437778e-02,9.987196e-01,7.881918e-04,3.562772e+01,1.285222e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.153846e+02,-1.393526e+02,-5.583204e-03,1.600492e+03,4.935885e-04,9.987181e-01,3.162412e-08,6.477997e-08,9.640409e-08,4.935885e-04,1.430118e-02,1.479487e-02,9.987181e-01,7.881936e-04,3.670192e+01,1.323972e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.246154e+02,-1.434312e+02,-5.746615e-03,1.647336e+03,4.947620e-04,9.987170e-01,2.060882e-08,4.801042e-08,6.861924e-08,4.947620e-04,1.471666e-02,1.521149e-02,9.987170e-01,7.881960e-04,3.777613e+01,1.362722e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.338462e+02,-1.475098e+02,-5.910026e-03,1.694179e+03,4.957143e-04,9.987160e-01,8.752324e-09,3.383649e-08,4.258882e-08,4.957143e-04,1.513196e-02,1.562771e-02,9.987160e-01,7.881987e-04,3.885033e+01,1.401473e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.430769e+02,-1.515885e+02,-6.073437e-03,1.741023e+03,4.964734e-04,9.987153e-01,2.955413e-09,2.712386e-08,3.007927e-08,4.964734e-04,1.554708e-02,1.604359e-02,9.987153e-01,7.882015e-04,3.992453e+01,1.440223e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.523077e+02,-1.556671e+02,-6.236848e-03,1.787867e+03,4.970757e-04,9.987147e-01,4.381375e-09,2.304305e-08,2.742442e-08,4.970757e-04,1.596203e-02,1.645914e-02,9.987147e-01,7.882043e-04,4.099873e+01,1.478974e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.615385e+02,-1.597457e+02,-6.400258e-03,1.834710e+03,4.975642e-04,9.987142e-01,3.319755e-10,2.336492e-08,2.369690e-08,4.975642e-04,1.637681e-02,1.687440e-02,9.987142e-01,7.882072e-04,4.207294e+01,1.517724e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.707692e+02,-1.638243e+02,-6.563669e-03,1.881554e+03,4.979405e-04,9.987138e-01,4.101404e-09,2.269205e-08,2.679345e-08,4.979405e-04,1.679141e-02,1.728938e-02,9.987138e-01,7.882100e-04,4.314714e+01,1.556474e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.800000e+02,-1.679029e+02,-6.727080e-03,1.928398e+03,4.982437e-04,9.987135e-01,8.265965e-10,2.409623e-08,2.492282e-08,4.982437e-04,1.720584e-02,1.770411e-02,9.987135e-01,7.882127e-04,4.422134e+01,1.595225e+00,8.000000e+01,9.000000e+00
7.810000e+02,3.892308e+02,-1.719815e+02,-6.890491e-03,1.975241e+03,4.984674e-04,9.987133e-01,4.175049e-09,2.160532e-08,2.578037e-08,4.984674e-04,1.762009e-02,1.811858e-02,9.987133e-01,7.882153e-04,4.529555e+01,1.633975e+00,8.000000e+01,9.000000e+00
