# distance_um=4.5
# waist_um=2.0
# t_gate_us=4.5
# delta_start_mhz=-11.4
# delta_end_mhz=11.4
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# rabi_420_hz=135000000.0
# rabi_1013_hz=135000000.0
# Delta_hz=2400000000.0
# ac_stark_peak_mhz=1.8984375
# ac_stark_off=False
# sweep_delta_min_mhz=11.4
# sweep_delta_max_mhz=11.4
# n_delta=1
# sweep_tgate_min_us=4.5
# sweep_tgate_max_us=4.5
# n_tgate=1
# fix_wl=None
# fix_power_uw=None
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V,delta_half_mhz,t_gate_us
7.810000e+02,2.969231e+02,-1.311954e+02,-5.256382e-03,1.506805e+03,8.680115e-03,9.905374e-01,1.369068e-07,5.388781e-09,1.422955e-07,8.680115e-03,6.757684e-03,1.543794e-02,9.905374e-01,7.823178e-04,3.455352e+01,1.246471e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.061538e+02,-1.352740e+02,-5.419793e-03,1.553648e+03,8.672394e-03,9.905451e-01,1.316781e-07,5.703897e-09,1.373820e-07,8.672394e-03,6.967034e-03,1.563957e-02,9.905451e-01,7.823244e-04,3.562772e+01,1.285222e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.153846e+02,-1.393526e+02,-5.583204e-03,1.600492e+03,8.665628e-03,9.905519e-01,1.305100e-07,6.170800e-09,1.366808e-07,8.665628e-03,7.176340e-03,1.584210e-02,9.905519e-01,7.823302e-04,3.670192e+01,1.323972e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.246154e+02,-1.434312e+02,-5.746615e-03,1.647336e+03,8.659792e-03,9.905578e-01,1.127382e-07,6.275734e-09,1.190140e-07,8.659792e-03,7.385602e-03,1.604551e-02,9.905578e-01,7.823353e-04,3.777613e+01,1.362722e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.338462e+02,-1.475098e+02,-5.910026e-03,1.694179e+03,8.654853e-03,9.905627e-01,7.668466e-08,6.181003e-09,8.286566e-08,8.654853e-03,7.594820e-03,1.624976e-02,9.905627e-01,7.823396e-04,3.885033e+01,1.401473e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.430769e+02,-1.515885e+02,-6.073437e-03,1.741023e+03,8.650782e-03,9.905668e-01,4.886791e-08,6.468328e-09,5.533624e-08,8.650782e-03,7.803993e-03,1.645483e-02,9.905668e-01,7.823432e-04,3.992453e+01,1.440223e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.523077e+02,-1.556671e+02,-6.236848e-03,1.787867e+03,8.647573e-03,9.905700e-01,3.828050e-08,7.019004e-09,4.529950e-08,8.647573e-03,8.013122e-03,1.666074e-02,9.905700e-01,7.823461e-04,4.099873e+01,1.478974e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.615385e+02,-1.597457e+02,-6.400258e-03,1.834710e+03,8.645217e-03,9.905724e-01,3.255606e-08,6.892580e-09,3.944864e-08,8.645217e-03,8.222208e-03,1.686746e-02,9.905724e-01,7.823483e-04,4.207294e+01,1.517724e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.707692e+02,-1.638243e+02,-6.563669e-03,1.881554e+03,8.643680e-03,9.905739e-01,2.598656e-08,5.607977e-09,3.159454e-08,8.643680e-03,8.431249e-03,1.707496e-02,9.905739e-01,7.823498e-04,4.314714e+01,1.556474e+00,1.140000e+01,4.500000e+00
7.810000e+02,3.800000e+02,-1.679029e+02,-6.727080e-03,1.928398e+03,8.642922e-03,9.905747e-01,2.140142e-08,3.854933e-09,2.525635e-08,8.642922e-03,8.640246e-03,1.728319e-02,9.905747e-01,7.823507e-04,4.422134e+01,1.595225e+00,1.140000e+01,4.500000e+00
