# distance_um=4.0
# waist_um=1.0
# t_gate_us=4.5
# delta_start_mhz=-40.0
# delta_end_mhz=40.0
# wl_min=781.0
# wl_max=786.0
# n_wl=60
# power_min_uw=140.0
# power_max_uw=500.0
# n_power=40
# wl,power_uw,delta_A_mhz,delta_B_mhz,scatter_A_hz,P_gg,P_gr,P_rg,P_rr,pinning_leak,crosstalk,scatter_penalty,total_cost,P_target,other_residual,delta_A_over_Omega,delta_A_over_V
7.810000e+02,1.400000e+02,-6.185897e+01,-7.833922e-13,7.104623e+02,1.917922e-03,9.972927e-01,1.679688e-06,5.970175e-09,1.685658e-06,1.917922e-03,3.191975e-03,5.111583e-03,9.972927e-01,7.876889e-04,1.629207e+01,2.899020e-01
7.810000e+02,1.492308e+02,-6.593758e+01,-8.350444e-13,7.573060e+02,2.025565e-03,9.971829e-01,3.974032e-06,6.988202e-09,3.981020e-06,2.025565e-03,3.402077e-03,5.431623e-03,9.971829e-01,7.875895e-04,1.736628e+01,3.090164e-01
7.810000e+02,1.584615e+02,-7.001619e+01,-8.866967e-13,8.041496e+02,2.114798e-03,9.970925e-01,5.205192e-06,7.515656e-09,5.212707e-06,2.114798e-03,3.612134e-03,5.732145e-03,9.970925e-01,7.875068e-04,1.844048e+01,3.281308e-01
7.810000e+02,1.676923e+02,-7.409481e+01,-9.383489e-13,8.509933e+02,2.193502e-03,9.970155e-01,3.511959e-06,7.325024e-09,3.519284e-06,2.193502e-03,3.822147e-03,6.019168e-03,9.970155e-01,7.874343e-04,1.951468e+01,3.472452e-01
7.810000e+02,1.769231e+02,-7.817342e+01,-9.900011e-13,8.978370e+02,2.262020e-03,9.969494e-01,1.222201e-06,6.641008e-09,1.228842e-06,2.262020e-03,4.032116e-03,6.295364e-03,9.969494e-01,7.873713e-04,2.058888e+01,3.663596e-01
7.810000e+02,1.861538e+02,-8.225203e+01,-1.041653e-12,9.446807e+02,2.320299e-03,9.968921e-01,2.344543e-07,5.766343e-09,2.402206e-07,2.320299e-03,4.242040e-03,6.562579e-03,9.968921e-01,7.873176e-04,2.166309e+01,3.854741e-01
7.810000e+02,1.953846e+02,-8.633065e+01,-1.093306e-12,9.915243e+02,2.370401e-03,9.968420e-01,3.035680e-07,4.793752e-09,3.083618e-07,2.370401e-03,4.451920e-03,6.822629e-03,9.968420e-01,7.872715e-04,2.273729e+01,4.045885e-01
7.810000e+02,2.046154e+02,-9.040926e+01,-1.144958e-12,1.038368e+03,2.414628e-03,9.967975e-01,6.145049e-07,3.723998e-09,6.182289e-07,2.414628e-03,4.661756e-03,7.077002e-03,9.967975e-01,7.872309e-04,2.381149e+01,4.237029e-01
7.810000e+02,2.138462e+02,-9.448787e+01,-1.196610e-12,1.085212e+03,2.454567e-03,9.967576e-01,6.642501e-07,2.687523e-09,6.669376e-07,2.454567e-03,4.871548e-03,7.326782e-03,9.967576e-01,7.871944e-04,2.488570e+01,4.428173e-01
7.810000e+02,2.230769e+02,-9.856649e+01,-1.248262e-12,1.132055e+03,2.491083e-03,9.967214e-01,3.652903e-07,1.910904e-09,3.672012e-07,2.491083e-03,5.081295e-03,7.572746e-03,9.967214e-01,7.871610e-04,2.595990e+01,4.619317e-01
